infrastructure_level,n_vehicles,mean_eds,mean_energy_into_battery,mean_battery
High,110855,30.70011205555488,1041.4174372647321,13.535465489098918
Low,74677,31.766438850273367,1335.226843235339,13.178930873252916
Medium,74711,29.068127070267877,1102.7521074784293,13.41574339950702
