variable,edf,ref_df,f_stat,p_value
s(mass),8.988146629260791,8.999929757977595,4439.571159959937,0
s(engine_power),6.97268576245018,6.99958330750259,3310.4460848433846,0
s(aer),8.798668524253372,8.973111501328008,973.3790974630765,0
s(eds),8.629072277739638,8.960929810881172,878.901226734201,0
s(engine_displacement),6.975467327349265,6.999571783119903,800.8248584351225,0
s(battery_capacity),6.994460050334436,6.999978210032745,750.5827711992378,0
