region,n_countries,mean_eds,median_eds,mean_energy,mean_temperature
Central_Eastern,8,30.885005280764236,29.58219211442768,25.703232058976763,NA
Northern,7,32.45748890984923,28.87391110828511,22.43755058776717,NA
Other,2,26.8230392394647,22.039926756633005,22.70106345633402,NA
Southern,6,35.964867936395606,31.529305948483824,22.303646164712447,NA
Western,6,30.415196031075073,27.766291590890017,23.08835548139286,NA
