term,estimate,std.error,statistic,p.value
(Intercept),20.96800766008772,4.136814915244294,5.068635674953682,3.935060533338137e-5
region_factorNorthern,5.314008182964245,2.5686448282923866,2.0687983501778846,0.04998566792608004
region_factorOther,3.691675776578384,4.426257160862112,0.834040057414863,0.4128372388304148
region_factorSouthern,-0.9857795672377789,3.237009927414197,-0.30453399567583156,0.7634595535314654
region_factorWestern,-0.1052078045986611,2.207876576864455,-0.0476511258378733,0.9624056438040158
temperature,0.9701147097751545,0.3792822711376377,2.55776445037978,0.017592415044275497
