region,n_countries,mean_charge_points,mean_pevs,mean_eds,mean_energy_into_battery
Central_Eastern,8,3259.625,40834.125,30.882341246877143,1392.7606361332907
Northern,7,12739.714285714286,178579.14285714287,32.3909047915938,1391.3542515536046
Other,2,13694,480878,26.840759982682812,1118.7367440871433
Southern,6,14482.666666666666,201437.8333333333,35.864327836647405,1175.7494197973429
Western,6,81545.33333333333,970867,30.366297547478442,1286.811239649114
