term,estimate,std.error,statistic,p.value
(Intercept),-2.498701705973653,14.476425694816283,-0.17260487903919458,0.8645400917643955
region_factorNorthern,5.7775005577787875,2.486789304590906,2.3232770653761623,0.0298021683169157
region_factorOther,2.6727121339377384,4.301607917242987,0.6213286253319781,0.540768610550701
region_factorSouthern,0.563414760206744,3.2473554554123307,0.1734995653979631,0.8638452538551469
region_factorWestern,0.19037470976921203,2.131638455831031,0.08930909894614067,0.9296443259652986
mean_battery_capacity,1.8564738690387406,1.101101207599435,1.6860156507194561,0.1059250905837552
temperature,0.7330726258669831,0.39108990803925364,1.8744350360311641,0.07421100824997282
