eds_category,region,n_countries,mean_eds,mean_energy,mean_temperature
Medium EDS (20-50%),Central_Eastern,8,30.885005280764236,25.703232058976763,NA
Medium EDS (20-50%),Northern,7,32.45748890984923,22.43755058776717,NA
Medium EDS (20-50%),Other,2,26.8230392394647,22.70106345633402,NA
Medium EDS (20-50%),Southern,6,35.964867936395606,22.303646164712447,NA
Medium EDS (20-50%),Western,6,30.415196031075073,23.08835548139286,NA
