OBFCM_ReportingPeriod,region,n_vehicles,mean_eds,median_eds,mean_energy
2021,Central_Eastern,275,31.928693362070295,27.179226069246436,24.802641379352195
2021,Northern,1648,35.41786909087964,35.26262260422014,20.683697888258028
2021,Other,70,20.56059706679835,13.554982200102057,20.27551930812334
2021,Southern,1750,30.546997409697397,28.761238372793294,21.866364620628083
2021,Western,8146,31.047103460519388,28.267676287104358,23.108837284039833
2022,Central_Eastern,2271,31.0695734099217,28.24378405310275,24.82494815066332
2022,Northern,17640,34.43357649054561,33.760907205516716,20.75175338951785
2022,Other,1875,30.68734038050604,29.429573698570533,21.83657349557915
2022,Southern,15982,29.863207015759805,26.89721822039489,21.686675585544663
2022,Western,78179,31.19058944535566,28.87009992313605,22.48642045432385
2023,Central_Eastern,5324,30.781083113832157,28.39688077115003,25.297716743926706
2023,Northern,16930,29.691542143318696,27.48421601670705,22.02891839685831
2023,Other,2856,27.354131752331288,21.827667989742572,19.831477795386604
2023,Southern,21475,29.170817808649698,25.657470036340108,22.306709057881964
2023,Western,85822,29.71132062052889,27.142869645462,23.30527980727402
