Year,region,n_vehicles,mean_eds,mean_energy,mean_battery,mean_aer
2021,Central_Eastern,2116,31.648372346313572,24.72715543364626,14.387636295495007,61.763603385731535
2021,Northern,16850,34.58494324542333,20.84475104189993,12.821584071099384,57.376933221436445
2021,Other,1653,32.17286244199994,21.612783592131805,13.861951648229805,61.33607075173733
2021,Southern,14963,30.143514465009513,21.65385794468253,13.416057442378959,57.33290427477786
2021,Western,72508,31.108161743346244,22.703867623238647,13.667214052143741,63.04689367616615
2022,Central_Eastern,5754,30.63085201629204,25.297283051190227,13.557174523693604,60.677134445534904
2022,Northern,19368,30.2405231493183,21.781453805955266,12.801721352510205,61.604076974947326
2022,Other,3148,26.6580888424895,20.100263964933227,13.39309848454584,67.95520965692504
2022,Southern,24244,29.12625497004036,22.26911763265156,13.174841217422486,56.077222338422466
2022,Western,99639,29.964704218692802,23.08437602955123,13.418448491032212,62.01498451120197
